BFLIFE,"When children today in the US grow up, do you think they will be better off or worse off than people are now?  n=7, r=0.397."
BFLIFEA,"When children today in the United States grow up, do you think they will be better off or worse off financially than their parents?  n=5, r=0.968."
BLIFE1,"In America, each generation has tried to have a better life than their parents, with a better living standard, better homes, a better education, and so on. How likely do you think it is that today's youth will have a better life than their parents--very likely, somewhat likely, somewhat unlikely, or very unlikely?  n=18, r=0.87."
BLIFE10,"Do you think your children and the next generation in this country will be better off than you are, worse off, or about the same?  n=2, r=-1."
BLIFE11,"All things considered, do you think your children will be better off or worse off than you? (If 'No children (vol.)', ask about the generation younger than their own.)  n=2, r=1."
BLIFE12,"In the future, what do you think the economic situation will be for your children or other people's children? Do you think they will be better off than you and your generation or worse off?  n=2, r=1."
BLIFE13,"Do you think that your generation is better off, about the same, or worse off financially than your children's generation/the next generation of young people will be?  n=3, r=0.792."
BLIFE14,"Do you feel confident or not confident that life for our children's generation will be better than it has been for us?  n=13, r=0.735."
BLIFE14B,"Do you feel very confident, only fairly confident, or not at all confident that life for our children will be better than it has been for us?  n=10, r=0.824."
BLIFE15,"Do you expect the next generation of Americans will have a better standard of living than the one we have now, a worse standard of living than now, or about the same standard of living as we have now?  n=7, r=0.894."
BLIFE16,"Looking to the future, do you think most children in this country will grow up to be better off or worse off than their parents?  n=5, r=0.983."
BLIFE18,"Do you expect American children will have a higher, lower, or about the same standard of living than their parents do today?  n=3, r=0.843."
BLIFE19,"Do you think future generations will be better off, worse off, or about the same financially as people are now?  n=2, r=-1."
BLIFE2,"Compared to your parents' generation, do you think in general your opportunities to succeed in life are better than theirs, worse than theirs, or about the same as theirs?  n=8, r=0.845."
BLIFE20,"Do you expect your children's generation to enjoy a higher standard of living than your generation?  n=15, r=0.94."
BLIFE3,"Do you think the future of the next generation of Americans will be better, worse, or about the same as life today?  n=26, r=0.819."
BLIFE4,"Do you think the future generation of Americans will be better off, worse off, or about the same as people today?  n=9, r=0.731."
BLIFE5,"Do you expect life for the next generation of Americans to be: better than life today, worse than life today, or about the same?  n=6, r=0.874."
BLIFE6,"(I'd like you to rate your satisfaction with the state of the nation in some different areas.  For each of the following areas, please say whether you are very satisfied, somewhat satisfied, not too satisfied, or not at all satisfied?) How about...the opportunity for the next generation of Americans to live better than their parents?  n=7, r=0.903."
BLIFE6A,"Overall, do you think life for the next generation of Americans will be better or worse than life today?   n=9, r=0.586."
BLIFE7,"Are you satisfied or dissatisfied with the opportunity for the next generation of Americans to live better than their parents?  n=6, r=0.794."
BLIFE8,"And, thinking about the economic future...Do you believe that the next generation will be better off economically than the current generation? (If Yes/No, ask:) And do you feel strongly about that?  n=6, r=0.157."
BLIFE8A,"(Now, I would like to read you a list of statements that some people made about the US economy. Please listen carefully as I read each statement and tell me if you would agree or disagree with that particular statement.)...I think the next generation will be better off economically than I am now....Is that strongly agree/disagree or somewhat agree/disagree?  n=2, r=-1."
BLIFE9,"Thinking about the next generation of Americans who are children today, the way things are going, do you think economically they will be better off, worse off, or about the same as the generation of adults who are working today?  n=4, r=-0.845."
BOGGED,"If things continue the way they are going now, do you think the future of the next generation of Americans will be a good one, or will it be bogged down by too many problems left behind for them?  n=6, r=0.891."
BTIMES1,"Some people think that the United States will never again have it as good as we did in the past, others disagree. How about you? Do you think the country has already seen the best times we are going to, or not?  n=3, r=0.986."
BTIMES2,"Some people think that Americans will never be as well off again as they have been in the past. Others disagree and say that over the long run our standard of living will continue to go up. Do you think we have already seen our best days, or do you think things will get better?  n=4, r=0.621."
DREAM1,"Do you think the American Dream--that if you work hard you'll get ahead--still holds true, never held true, or once held true but does not anymore?   n=5, r=0.558."
DREAM10,"Looking to the future--say a generation from now--do you feel the American Dream will be easier to attain than today, harder to attain, or will it be about the same?  n=5, r=0.822."
DREAM11,"Compared with the past--say a generation ago--do you feel The American Dream is easier to attain today, harder to attain, or is it about the same?  n=4, r=0.581."
DREAM12,"Compared to ten years ago, do you think it is easier today or harder today for a person to start out poor, work hard, and to get out of poverty?  n=2, r=1."
DREAM13,"Compared to your parents, do you think it is easier or harder for you to achieve the American Dream? Is that much or somewhat easier/harder?  n=2, r=1."
DREAM14,"(Now, I am going to read you a series of statements that some people in the country have made about values. Please listen as I read each one and tell me if you agree or disagree with the statement.)... The American Dream is almost impossible for most families to achieve. ...(If choice made, ask:) Is that strongly agree/disagree or somewhat agree/disagree?  n=4, r=0.691."
DREAM15,"And your children, or the next generation, do you feel they will reach The American Dream?  n=2, r=1."
DREAM16,"I'd like to talk with you now about a term with which you are probably familiar--the American Dream. Do you personally feel that the American Dream is very much alive today, somewhat alive, or not really alive?  n=3, r=0.891."
DREAM2,"In today's society, do you think the American Dream is achievable for all Americans who are willing to work for it, for most Americans, but not all, only for some Americans, or for very few Americans, even if they are willing to work for it?  n=2, r=-1."
DREAM3,"I'd like to talk with you now about a term with which you are probably familiar--the American Dream. Do you personally feel that the American Dream is very much alive today, somewhat alive, or not really alive?  n=5, r=0.832."
DREAM4,"Is the 'American Dream' alive for the country in general?  n=4, r=-0.862."
DREAM5,"Do you agree or disagree: The American dream has become impossible for most people to achieve.  n=7, r=0.87."
DREAM6,"Do you think that if an individual works hard, they can still achieve the 'American Dream' of making a decent living, owning a home, and sending their children to college?  n=4, r=0.709."
DREAM7,"Which is closer to your view--if you work hard enough and play by the rules, you will be able to achieve the American dream in your lifetime, or even by working hard and playing by the rules, the American dream is unattainable for you?  n=2, r=1."
DREAM8,"Would you say that it is easier or harder for Americans to achieve the American Dream today than it was ten years ago, or haven't things changed much?  n=3, r=0.676."
